codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao,capacidadePeVeiculo,capacidadeSentadoVeiculo,datetime_registro
903018,,42,-22.839198,-43.240012,1761602544000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],37731.4,144,1,0,0,2025-10-27 19:02:35.131661-03:00
903019,,0,-22.774938,-43.284832,1753409663000,0.0,,,,149391.1, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903020,,42,-22.839865,-43.240091,1761601735000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],10306.9,17,0,0,0,2025-10-27 19:02:35.131661-03:00
903023,,42,-22.854098,-43.322039,1761602545000,52.5,9449,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],217664.9,56,1,0,0,2025-10-27 19:02:35.131661-03:00
903024,,0,-22.805205,-43.342031,1760008440000,0.0,,,,176766.9, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903025,,42,-22.85623,-43.326963,1761602523000,35.2,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],52454.9,264,1,0,0,2025-10-27 19:02:35.131661-03:00
903013,,42,-22.876548,-43.329495,1761596391000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],256428.0,86,0,0,0,2025-10-27 19:02:35.131661-03:00
903014,,42,-22.876284,-43.329499,1761602542000,0.0,9447,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],275848.5, ,1,0,0,2025-10-27 19:02:35.131661-03:00
902097,,41,-23.008067,-43.438613,1761602550000,23.9,3542,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],128563.7,18,1,0,0,2025-10-27 19:02:35.131661-03:00
901045,,35,-22.965723,-43.391232,1761597039000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],240382.6,156,0,0,0,2025-10-27 19:02:35.131661-03:00
901053,,53,-22.884545,-43.399384,1761602534000,0.0,8966,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],193749.3,12,1,0,0,2025-10-27 19:02:35.131661-03:00
901060,,51,-22.963058,-43.393503,1761602532000,13.6,3551,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],297085.4,38,1,0,0,2025-10-27 19:02:35.131661-03:00
903052,,14,-22.918596,-43.644332,1761602103000,0.0,10581,ida,14 - SANTA EUGÊNIA X TERMINAL RECREIO (EXPRESSO) [IDA],126464.6, ,0,0,0,2025-10-27 19:02:35.131661-03:00
903060,,17,-22.922582,-43.679488,1761602545000,18.8,10580,ida,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [IDA],183475.4,345,1,0,0,2025-10-27 19:02:35.131661-03:00
903063,,17,-22.915763,-43.628494,1761602539000,40.8,10579,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],169547.8,84,1,0,0,2025-10-27 19:02:35.131661-03:00
901000,,22,-23.002517,-43.326215,1761602550000,57.6,8970,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],216925.5,114,1,0,0,2025-10-27 19:02:35.131661-03:00
902113,,40,-22.877678,-43.336741,1761602532000,0.0,8972,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],125555.2, ,1,0,0,2025-10-27 19:02:35.131661-03:00
902118,,40,-22.88507,-43.34298,1761602541000,39.2,8973,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],123325.8,31,1,0,0,2025-10-27 19:02:35.131661-03:00
902117,,35,-22.958639,-43.38372,1761602533000,0.0,108,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],132091.1, ,1,0,0,2025-10-27 19:02:35.131661-03:00
